STATION,DATE,TMAX,TMIN
USW00023174,1989-01-01,63,44
USW00023174,1989-01-02,67,40
USW00023174,1989-01-03,74,45
USW00023174,1989-01-04,63,50
USW00023174,1989-01-05,57,48
USW00023174,1989-01-06,57,47
USW00023174,1989-01-07,55,37
USW00023174,1989-01-08,59,36
USW00023174,1989-01-09,62,42
USW00023174,1989-01-10,63,43
USW00023174,1989-01-11,63,45
USW00023174,1989-01-12,59,44
USW00023174,1989-01-13,62,40
USW00023174,1989-01-14,56,39
USW00023174,1989-01-15,67,40
USW00023174,1989-01-16,70,46
USW00023174,1989-01-17,75,48
USW00023174,1989-01-18,80,45
USW00023174,1989-01-19,81,51
USW00023174,1989-01-20,79,52
USW00023174,1989-01-21,79,57
USW00023174,1989-01-22,70,50
USW00023174,1989-01-23,57,51
USW00023174,1989-01-24,59,46
USW00023174,1989-01-25,61,44
USW00023174,1989-01-26,73,40
USW00023174,1989-01-27,64,44
USW00023174,1989-01-28,59,48
USW00023174,1989-01-29,62,41
USW00023174,1989-01-30,75,45
USW00023174,1989-01-31,69,47
USW00023174,1989-02-01,57,49
USW00023174,1989-02-02,58,50
USW00023174,1989-02-03,54,49
USW00023174,1989-02-04,55,46
USW00023174,1989-02-05,53,42
USW00023174,1989-02-06,53,35
USW00023174,1989-02-07,54,41
USW00023174,1989-02-08,52,42
USW00023174,1989-02-09,54,47
USW00023174,1989-02-10,59,49
USW00023174,1989-02-11,58,44
USW00023174,1989-02-12,62,44
USW00023174,1989-02-13,54,41
USW00023174,1989-02-14,56,39
USW00023174,1989-02-15,60,42
USW00023174,1989-02-16,60,42
USW00023174,1989-02-17,68,44
USW00023174,1989-02-18,60,46
USW00023174,1989-02-19,56,51
USW00023174,1989-02-20,59,49
USW00023174,1989-02-21,79,47
USW00023174,1989-02-22,83,56
USW00023174,1989-02-23,80,54
USW00023174,1989-02-24,75,55
USW00023174,1989-02-25,84,55
USW00023174,1989-02-26,74,55
USW00023174,1989-02-27,71,52
USW00023174,1989-02-28,63,53
USW00023174,1989-03-01,59,49
USW00023174,1989-03-02,55,51
USW00023174,1989-03-03,61,47
USW00023174,1989-03-04,62,43
USW00023174,1989-03-05,69,48
USW00023174,1989-03-06,73,51
USW00023174,1989-03-07,70,53
USW00023174,1989-03-08,70,53
USW00023174,1989-03-09,63,52
USW00023174,1989-03-10,62,52
USW00023174,1989-03-11,65,53
USW00023174,1989-03-12,68,54
USW00023174,1989-03-13,65,51
USW00023174,1989-03-14,65,50
USW00023174,1989-03-15,67,51
USW00023174,1989-03-16,60,53
USW00023174,1989-03-17,60,51
USW00023174,1989-03-18,66,50
USW00023174,1989-03-19,68,52
USW00023174,1989-03-20,77,55
USW00023174,1989-03-21,82,58
USW00023174,1989-03-22,72,51
USW00023174,1989-03-23,68,54
USW00023174,1989-03-24,62,55
USW00023174,1989-03-25,61,52
USW00023174,1989-03-26,61,49
USW00023174,1989-03-27,64,49
USW00023174,1989-03-28,65,51
USW00023174,1989-03-29,67,55
USW00023174,1989-03-30,67,54
USW00023174,1989-03-31,74,55
USW00023174,1989-04-01,68,55
USW00023174,1989-04-02,70,54
USW00023174,1989-04-03,76,56
USW00023174,1989-04-04,99,58
USW00023174,1989-04-05,101,64
USW00023174,1989-04-06,102,70
USW00023174,1989-04-07,93,67
USW00023174,1989-04-08,88,61
USW00023174,1989-04-09,72,60
USW00023174,1989-04-10,69,58
USW00023174,1989-04-11,64,59
USW00023174,1989-04-12,65,59
USW00023174,1989-04-13,68,59
USW00023174,1989-04-14,65,59
USW00023174,1989-04-15,67,58
USW00023174,1989-04-16,64,58
USW00023174,1989-04-17,66,57
USW00023174,1989-04-18,69,58
USW00023174,1989-04-19,69,59
USW00023174,1989-04-20,69,58
USW00023174,1989-04-21,69,57
USW00023174,1989-04-22,70,53
USW00023174,1989-04-23,67,51
USW00023174,1989-04-24,62,52
USW00023174,1989-04-25,63,48
USW00023174,1989-04-26,63,50
USW00023174,1989-04-27,66,50
USW00023174,1989-04-28,70,53
USW00023174,1989-04-29,71,55
USW00023174,1989-04-30,68,55
USW00023174,1989-05-01,65,54
USW00023174,1989-05-02,72,55
USW00023174,1989-05-03,71,58
USW00023174,1989-05-04,72,58
USW00023174,1989-05-05,68,61
USW00023174,1989-05-06,71,59
USW00023174,1989-05-07,67,57
USW00023174,1989-05-08,70,57
USW00023174,1989-05-09,75,59
USW00023174,1989-05-10,65,55
USW00023174,1989-05-11,65,52
USW00023174,1989-05-12,65,54
USW00023174,1989-05-13,65,55
USW00023174,1989-05-14,67,55
USW00023174,1989-05-15,67,57
USW00023174,1989-05-16,68,54
USW00023174,1989-05-17,67,58
USW00023174,1989-05-18,68,58
USW00023174,1989-05-19,68,55
USW00023174,1989-05-20,72,57
USW00023174,1989-05-21,70,56
USW00023174,1989-05-22,68,55
USW00023174,1989-05-23,70,54
USW00023174,1989-05-24,68,55
USW00023174,1989-05-25,67,58
USW00023174,1989-05-26,70,56
USW00023174,1989-05-27,68,57
USW00023174,1989-05-28,71,58
USW00023174,1989-05-29,68,55
USW00023174,1989-05-30,70,57
USW00023174,1989-05-31,69,56
USW00023174,1989-06-01,68,58
USW00023174,1989-06-02,65,58
USW00023174,1989-06-03,65,59
USW00023174,1989-06-04,67,60
USW00023174,1989-06-05,69,59
USW00023174,1989-06-06,67,57
USW00023174,1989-06-07,64,58
USW00023174,1989-06-08,67,60
USW00023174,1989-06-09,66,61
USW00023174,1989-06-10,69,60
USW00023174,1989-06-11,69,58
USW00023174,1989-06-12,68,57
USW00023174,1989-06-13,68,58
USW00023174,1989-06-14,71,61
USW00023174,1989-06-15,69,61
USW00023174,1989-06-16,70,60
USW00023174,1989-06-17,72,60
USW00023174,1989-06-18,72,59
USW00023174,1989-06-19,79,62
USW00023174,1989-06-20,79,61
USW00023174,1989-06-21,79,61
USW00023174,1989-06-22,70,60
USW00023174,1989-06-23,74,62
USW00023174,1989-06-24,73,63
USW00023174,1989-06-25,72,64
USW00023174,1989-06-26,71,60
USW00023174,1989-06-27,71,61
USW00023174,1989-06-28,70,60
USW00023174,1989-06-29,70,58
USW00023174,1989-06-30,78,60
USW00023174,1989-07-01,74,61
USW00023174,1989-07-02,73,61
USW00023174,1989-07-03,77,62
USW00023174,1989-07-04,84,62
USW00023174,1989-07-05,82,65
USW00023174,1989-07-06,80,63
USW00023174,1989-07-07,77,64
USW00023174,1989-07-08,74,65
USW00023174,1989-07-09,73,64
USW00023174,1989-07-10,79,64
USW00023174,1989-07-11,76,64
USW00023174,1989-07-12,72,61
USW00023174,1989-07-13,71,61
USW00023174,1989-07-14,76,63
USW00023174,1989-07-15,80,65
USW00023174,1989-07-16,78,63
USW00023174,1989-07-17,74,64
USW00023174,1989-07-18,73,63
USW00023174,1989-07-19,74,63
USW00023174,1989-07-20,76,67
USW00023174,1989-07-21,79,67
USW00023174,1989-07-22,78,66
USW00023174,1989-07-23,71,63
USW00023174,1989-07-24,70,63
USW00023174,1989-07-25,73,62
USW00023174,1989-07-26,74,63
USW00023174,1989-07-27,77,64
USW00023174,1989-07-28,73,61
USW00023174,1989-07-29,73,61
USW00023174,1989-07-30,74,62
USW00023174,1989-07-31,78,62
USW00023174,1989-08-01,80,62
USW00023174,1989-08-02,78,64
USW00023174,1989-08-03,74,63
USW00023174,1989-08-04,74,62
USW00023174,1989-08-05,73,62
USW00023174,1989-08-06,76,65
USW00023174,1989-08-07,76,65
USW00023174,1989-08-08,71,64
USW00023174,1989-08-09,72,63
USW00023174,1989-08-10,73,64
USW00023174,1989-08-11,71,64
USW00023174,1989-08-12,73,64
USW00023174,1989-08-13,77,64
USW00023174,1989-08-14,74,61
USW00023174,1989-08-15,74,61
USW00023174,1989-08-16,72,62
USW00023174,1989-08-17,72,62
USW00023174,1989-08-18,74,61
USW00023174,1989-08-19,72,61
USW00023174,1989-08-20,71,62
USW00023174,1989-08-21,72,63
USW00023174,1989-08-22,72,60
USW00023174,1989-08-23,72,62
USW00023174,1989-08-24,73,63
USW00023174,1989-08-25,71,62
USW00023174,1989-08-26,73,61
USW00023174,1989-08-27,70,61
USW00023174,1989-08-28,68,60
USW00023174,1989-08-29,67,60
USW00023174,1989-08-30,74,59
USW00023174,1989-08-31,76,60
USW00023174,1989-09-01,71,59
USW00023174,1989-09-02,72,57
USW00023174,1989-09-03,72,58
USW00023174,1989-09-04,73,59
USW00023174,1989-09-05,75,61
USW00023174,1989-09-06,74,62
USW00023174,1989-09-07,72,59
USW00023174,1989-09-08,72,59
USW00023174,1989-09-09,70,60
USW00023174,1989-09-10,71,60
USW00023174,1989-09-11,72,60
USW00023174,1989-09-12,73,63
USW00023174,1989-09-13,72,62
USW00023174,1989-09-14,83,60
USW00023174,1989-09-15,88,66
USW00023174,1989-09-16,80,66
USW00023174,1989-09-17,70,62
USW00023174,1989-09-18,70,62
USW00023174,1989-09-19,68,57
USW00023174,1989-09-20,73,57
USW00023174,1989-09-21,84,61
USW00023174,1989-09-22,83,62
USW00023174,1989-09-23,72,61
USW00023174,1989-09-24,74,60
USW00023174,1989-09-25,84,64
USW00023174,1989-09-26,85,63
